Территория,Значение (январь-март 2018г),к АППГ (январь-март 2017г)/отклонение,к АППГ (январь-март 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"106,80","-1,30","98,8%",,,,
Дальневосточный федеральный округ,"114,30","1,60","101,4%",,"7,50",,1
Амурская область,"126,20","-32,10","79,7%","11,90","19,40",3,9
Еврейская автономная область,"70,70","7,30","111,5%","-43,60","-36,10",11,85
Забайкальский край,"101,10","6,50","106,9%","-13,20","-5,70",8,46
Камчатская область,,,,,,,
Камчатский край,"121,00","-18,50","86,7%","6,70","14,20",4,14
Корякский автономный округ,,,,,,,
Магаданская область,"155,70","18,70","113,6%","41,40","48,90",1,3
Приморский край,"99,20","11,50","113,1%","-15,10","-7,60",9,55
Республика Бурятия,"117,70","5,30","104,7%","3,40","10,90",5,16
Республика Саха (Якутия),"104,10","-15,40","87,1%","-10,20","-2,70",7,39
Сахалинская область,"147,40","28,10","123,6%","33,10","40,60",2,4
Хабаровский край,"113,70","12,90","112,8%","-0,60","6,90",6,22
Чукотский автономный округ,"95,10","-26,20","78,4%","-19,20","-11,70",10,63
Приволжский федеральный округ,"110,40","-6,80","94,2%",,"3,60",,2
Кировская область,"111,30","8,60","108,4%","0,90","4,50",4,26
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"121,40","11,90","110,9%","11,00","14,60",3,12
Оренбургская область,"125,70","-4,40","96,6%","15,30","18,90",2,10
Пензенская область,"97,00","25,70","136,0%","-13,40","-9,80",9,60
Пермская область,,,,,,,
Пермский край,"94,60","-4,30","95,7%","-15,80","-12,20",10,65
Республика Башкортостан,"103,30","-5,70","94,8%","-7,10","-3,50",5,40
Республика Марий Эл,"66,50","10,30","118,3%","-43,90","-40,30",14,87
Республика Мордовия,"184,70","-8,90","95,4%","74,30","77,90",1,1
Республика Татарстан (Татарстан),"100,70","-6,10","94,3%","-9,70","-6,10",6,48
Самарская область,"100,30","-3,50","96,6%","-10,10","-6,50",7,51
Саратовская область,"100,10","-23,10","81,2%","-10,30","-6,70",8,52
Удмуртская республика,"83,80","-76,90","52,1%","-26,60","-23,00",13,77
Ульяновская область,"89,90","-25,30","78,0%","-20,50","-16,90",11,72
Чувашская Республика-Чувашия,"89,70","-10,50","89,5%","-20,70","-17,10",12,73
Северо-Западный федеральный округ,"108,90","5,90","105,7%",,"2,10",,3
Архангельская область,"80,70","13,20","119,6%","-28,20","-26,10",11,79
Архангельская область без авт. округа,"79,70","12,10","117,9%","-29,20","-27,10",12,80
Вологодская область,"98,40","-0,80","99,2%","-10,50","-8,40",9,57
г. Санкт-Петербург,"111,20","-3,70","96,8%","2,30","4,40",5,27
Калининградская область,"87,50","-6,40","93,2%","-21,40","-19,30",10,75
Ленинградская область,"136,60","26,10","123,6%","27,70","29,80",1,6
Мурманская область,"100,50","13,40","115,4%","-8,40","-6,30",7,49
Ненецкий автономный округ,"129,90","66,50","204,9%","21,00","23,10",2,7
Новгородская область,"108,10","-14,10","88,5%","-0,80","1,30",6,31
Псковская область,"99,50","7,60","108,3%","-9,40","-7,30",8,53
Республика Карелия,"126,90","-32,10","79,8%","18,00","20,10",3,8
Республика Коми,"115,80","-4,90","95,9%","6,90","9,00",4,18
Северо-Кавказский федеральный округ,"96,80","18,70","123,9%",,"-10,00",,8
Кабардино-Балкарская Республика,"142,20","-113,30","55,7%","45,40","35,40",1,5
Карачаево-Черкесская Республика,"104,60","18,30","121,2%","7,80","-2,20",3,36
Республика Дагестан,"116,40","33,00","139,6%","19,60","9,60",2,17
Республика Ингушетия,"98,30","38,70","164,9%","1,50","-8,50",4,58
Республика Северная Осетия-Алания,"78,50","-23,10","77,3%","-18,30","-28,30",7,83
Ставропольский край,"96,40","25,20","135,4%","-0,40","-10,40",5,61
Чеченская республика,"83,70","-11,70","87,7%","-13,10","-23,10",6,78
Сибирский федеральный округ,"98,00","-0,60","99,4%",,"-8,80",,6
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"104,20","6,10","106,2%","6,20","-2,60",3,38
Иркутская область,"92,30","-0,10","99,9%","-5,70","-14,50",8,68
Кемеровская область,"100,80","3,30","103,4%","2,80","-6,00",5,47
Красноярский край,"102,30","-1,10","98,9%","4,30","-4,50",4,43
Новосибирская область,"91,30","11,10","113,8%","-6,70","-15,50",10,70
Омская область,"115,00","1,90","101,7%","17,00","8,20",1,20
Республика Алтай,"113,40","38,00","150,4%","15,40","6,60",2,23
Республика Тыва,"95,90","-9,70","90,8%","-2,10","-10,90",7,62
Республика Хакасия,"100,40","-1,40","98,6%","2,40","-6,40",6,50
Таймырский автономный округ,,,,,,,
Томская область,"92,20","-39,20","70,2%","-5,80","-14,60",9,69
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"108,50","8,40","108,4%",,"1,70",,5
Курганская область,"98,60","-15,20","86,6%","-9,90","-8,20",6,56
Свердловская область,"102,00","-0,30","99,7%","-6,50","-4,80",4,44
Тюменская область,"107,10","9,20","109,4%","-1,40","0,30",3,33
Тюменская область без авт. округов,"121,40","2,40","102,0%","12,90","14,60",1,12
Ханты-Мансийский автономный округ,"101,80","4,00","104,1%","-6,70","-5,00",5,45
Челябинская область,"120,50","19,80","119,7%","12,00","13,70",2,15
Ямало-Ненецкий автономный округ,"78,80","15,50","124,5%","-29,70","-28,00",7,81
Центральный федеральный округ,"108,60","-8,00","93,1%",,"1,80",,4
Белгородская область,"110,20","-4,30","96,2%","1,60","3,40",5,28
Брянская область,"103,10","-8,50","92,4%","-5,50","-3,70",10,42
Владимирская область,"90,50","1,80","102,0%","-18,10","-16,30",15,71
Воронежская область,"97,40","-16,50","85,5%","-11,20","-9,40",12,59
г. Москва,"105,40","-6,60","94,1%","-3,20","-1,40",9,35
Ивановская область,"78,70","16,30","126,1%","-29,90","-28,10",17,82
Калужская область,"106,90","8,70","108,9%","-1,70","0,10",8,34
Костромская область,"99,30","-2,00","98,0%","-9,30","-7,50",11,54
Курская область,"115,00","5,40","104,9%","6,40","8,20",3,20
Липецкая область,"108,20","-12,40","89,7%","-0,40","1,40",6,30
Московская область,"108,00","-25,10","81,1%","-0,60","1,20",7,32
Орловская область,"72,60","5,70","108,5%","-36,00","-34,20",18,84
Рязанская область,"94,00","-0,70","99,3%","-14,60","-12,80",13,66
Смоленская область,"122,20","-27,90","81,4%","13,60","15,40",2,11
Тамбовская область,"157,80","28,80","122,3%","49,20","51,00",1,2
Тверская область,"93,50","2,30","102,5%","-15,10","-13,30",14,67
Тульская область,"89,00","0,10","100,1%","-19,60","-17,80",16,74
Ярославская область,"112,20","8,60","108,3%","3,60","5,40",4,25
Южный федеральный округ,"97,80","1,40","101,5%",,"-9,00",,7
Астраханская область,"94,80","16,10","120,5%","-3,00","-12,00",6,64
Волгоградская область,"115,60","-10,00","92,0%","17,80","8,80",1,19
г. Севастополь,"104,50","-27,90","78,9%","6,70","-2,30",4,37
Краснодарский край,"103,30","-0,10","99,9%","5,50","-3,50",5,40
Республика Адыгея (Адыгея),"108,30","9,90","110,1%","10,50","1,50",3,29
Республика Калмыкия,"67,70","24,40","156,4%","-30,10","-39,10",8,86
Республика Крым,"113,00","21,70","123,8%","15,20","6,20",2,24
Ростовская область,"85,50","4,20","105,2%","-12,30","-21,30",7,76
