Территория,Значение (январь 2017г),к АППГ (январь 2016г)/отклонение,к АППГ (январь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"24 231,00","2 866,00","113,4%",,,,
Дальневосточный федеральный округ,"27 714,00","4 263,00","118,2%",,"3 483,00",,2
Амурская область,"25 149,00","4 003,00","118,9%","-2 565,00","918,00",7,20
Еврейская автономная область,"17 513,00","856,00","105,1%","-10 201,00","-6 718,00",10,68
Забайкальский край,"18 470,00","2 405,00","115,0%","-9 244,00","-5 761,00",9,59
Камчатская область,,,,,,,
Камчатский край,"27 257,00","9 749,00","155,7%","-457,00","3 026,00",5,14
Корякский автономный округ,,,,,,,
Магаданская область,"28 852,00","3 062,00","111,9%","1 138,00","4 621,00",4,11
Приморский край,"24 818,00","1 720,00","107,4%","-2 896,00","587,00",8,22
Республика Бурятия,"16 705,00","-511,00","97,0%","-11 009,00","-7 526,00",11,75
Республика Саха (Якутия),"30 465,00","8 312,00","137,5%","2 751,00","6 234,00",3,9
Сахалинская область,"43 120,00","5 455,00","114,5%","15 406,00","18 889,00",1,1
Хабаровский край,"26 761,00","4 175,00","118,5%","-953,00","2 530,00",6,16
Чукотский автономный округ,"36 707,00","-349,00","99,1%","8 993,00","12 476,00",2,6
Приволжский федеральный округ,"20 528,00","2 461,00","113,6%",,"-3 703,00",,6
Кировская область,"16 885,00","3 028,00","121,9%","-3 643,00","-7 346,00",10,74
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"24 703,00","2 507,00","111,3%","4 175,00","472,00",1,23
Оренбургская область,"20 039,00","3 268,00","119,5%","-489,00","-4 192,00",6,47
Пензенская область,"18 852,00","2 984,00","118,8%","-1 676,00","-5 379,00",8,58
Пермская область,,,,,,,
Пермский край,"23 543,00","1 336,00","106,0%","3 015,00","-688,00",3,29
Республика Башкортостан,"24 010,00","3 269,00","115,8%","3 482,00","-221,00",2,27
Республика Марий Эл,"14 072,00","1 334,00","110,5%","-6 456,00","-10 159,00",13,81
Республика Мордовия,"14 372,00","2 046,00","116,6%","-6 156,00","-9 859,00",12,80
Республика Татарстан (Татарстан),"23 140,00","1 718,00","108,0%","2 612,00","-1 091,00",4,32
Самарская область,"20 425,00","1 403,00","107,4%","-103,00","-3 806,00",5,44
Саратовская область,"14 463,00","2 543,00","121,3%","-6 065,00","-9 768,00",11,79
Удмуртская республика,"19 492,00","5 182,00","136,2%","-1 036,00","-4 739,00",7,51
Ульяновская область,"18 056,00","3 998,00","128,4%","-2 472,00","-6 175,00",9,64
Чувашская Республика-Чувашия,"13 755,00","414,00","103,1%","-6 773,00","-10 476,00",14,82
Северо-Западный федеральный округ,"24 783,00","2 707,00","112,3%",,"552,00",,4
Архангельская область,"27 576,00","4 800,00","121,1%","2 793,00","3 345,00",2,13
Архангельская область без авт. округа,"27 143,00","4 678,00","120,8%","2 360,00","2 912,00",3,15
Вологодская область,"21 873,00","2 458,00","112,7%","-2 910,00","-2 358,00",9,36
г. Санкт-Петербург,"26 438,00","2 559,00","110,7%","1 655,00","2 207,00",5,18
Калининградская область,"21 042,00","1 860,00","109,7%","-3 741,00","-3 189,00",10,39
Ленинградская область,"25 003,00","2 319,00","110,2%","220,00","772,00",7,21
Мурманская область,"26 358,00","2 374,00","109,9%","1 575,00","2 127,00",6,19
Ненецкий автономный округ,"38 740,00","7 785,00","125,1%","13 957,00","14 509,00",1,5
Новгородская область,"22 533,00","2 517,00","112,6%","-2 250,00","-1 698,00",8,34
Псковская область,"18 302,00","3 839,00","126,5%","-6 481,00","-5 929,00",12,62
Республика Карелия,"21 017,00","2 819,00","115,5%","-3 766,00","-3 214,00",11,42
Республика Коми,"26 570,00","2 258,00","109,3%","1 787,00","2 339,00",4,17
Северо-Кавказский федеральный округ,"18 426,00","2 292,00","114,2%",,"-5 805,00",,8
Кабардино-Балкарская Республика,"17 304,00","2 550,00","117,3%","-1 122,00","-6 927,00",4,69
Карачаево-Черкесская Республика,"13 237,00","1 192,00","109,9%","-5 189,00","-10 994,00",6,84
Республика Дагестан,"20 380,00","2 551,00","114,3%","1 954,00","-3 851,00",1,45
Республика Ингушетия,"12 502,00","1 368,00","112,3%","-5 924,00","-11 729,00",7,85
Республика Северная Осетия-Алания,"17 130,00","2 009,00","113,3%","-1 296,00","-7 101,00",5,72
Ставропольский край,"19 112,00","2 542,00","115,3%","686,00","-5 119,00",2,57
Чеченская республика,"17 919,00","1 895,00","111,8%","-507,00","-6 312,00",3,66
Сибирский федеральный округ,"18 995,00","2 481,00","115,0%",,"-5 236,00",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"15 176,00","2 015,00","115,3%","-3 819,00","-9 055,00",8,77
Иркутская область,"18 406,00","2 118,00","113,0%","-589,00","-5 825,00",7,61
Кемеровская область,"19 328,00","3 992,00","126,0%","333,00","-4 903,00",4,55
Красноярский край,"23 013,00","1 424,00","106,6%","4 018,00","-1 218,00",1,33
Новосибирская область,"19 446,00","3 468,00","121,7%","451,00","-4 785,00",3,52
Омская область,"21 030,00","3 159,00","117,7%","2 035,00","-3 201,00",2,40
Республика Алтай,"13 514,00","3 258,00","131,8%","-5 481,00","-10 717,00",9,83
Республика Тыва,"10 240,00","3 866,00","160,7%","-8 755,00","-13 991,00",10,87
Республика Хакасия,"19 241,00","1 417,00","107,9%","246,00","-4 990,00",5,56
Таймырский автономный округ,,,,,,,
Томская область,"18 463,00","2 272,00","114,0%","-532,00","-5 768,00",6,60
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"26 933,00","2 418,00","109,9%",,"2 702,00",,3
Курганская область,"17 198,00","1 635,00","110,5%","-9 735,00","-7 033,00",7,71
Свердловская область,"30 132,00","2 913,00","110,7%","3 199,00","5 901,00",4,10
Тюменская область,"32 698,00","2 949,00","109,9%","5 765,00","8 467,00",3,8
Тюменская область без авт. округов,"22 108,00","2 326,00","111,8%","-4 825,00","-2 123,00",5,35
Ханты-Мансийский автономный округ,"39 298,00","2 741,00","107,5%","12 365,00","15 067,00",2,4
Челябинская область,"19 419,00","1 385,00","107,7%","-7 514,00","-4 812,00",6,53
Ямало-Ненецкий автономный округ,"41 438,00","5 635,00","115,7%","14 505,00","17 207,00",1,3
Центральный федеральный округ,"30 694,00","1 024,00","103,5%",,"6 463,00",,1
Белгородская область,"24 644,00","3 434,00","116,2%","-6 050,00","413,00",3,24
Брянская область,"21 025,00","2 603,00","114,1%","-9 669,00","-3 206,00",11,41
Владимирская область,"18 194,00","290,00","101,6%","-12 500,00","-6 037,00",17,63
Воронежская область,"24 193,00","2 697,00","112,5%","-6 501,00","-38,00",4,25
г. Москва,"42 643,00","-303,00","99,3%","11 949,00","18 412,00",1,2
Ивановская область,"19 367,00","3 230,00","120,0%","-11 327,00","-4 864,00",16,54
Калужская область,"24 054,00","2 124,00","109,7%","-6 640,00","-177,00",5,26
Костромская область,"21 792,00","3 600,00","119,8%","-8 902,00","-2 439,00",9,37
Курская область,"21 738,00","3 061,00","116,4%","-8 956,00","-2 493,00",10,38
Липецкая область,"23 383,00","2 236,00","110,6%","-7 311,00","-848,00",8,31
Московская область,"34 416,00","-989,00","97,2%","3 722,00","10 185,00",2,7
Орловская область,"19 867,00","3 623,00","122,3%","-10 827,00","-4 364,00",14,49
Рязанская область,"17 266,00","1 280,00","108,0%","-13 428,00","-6 965,00",18,70
Смоленская область,"19 891,00","2 510,00","114,4%","-10 803,00","-4 340,00",13,48
Тамбовская область,"19 854,00","2 527,00","114,6%","-10 840,00","-4 377,00",15,50
Тверская область,"20 352,00","4 170,00","125,8%","-10 342,00","-3 879,00",12,46
Тульская область,"23 505,00","1 714,00","107,9%","-7 189,00","-726,00",7,30
Ярославская область,"23 926,00","1 259,00","105,6%","-6 768,00","-305,00",6,28
Южный федеральный округ,"21 670,00","1 578,00","107,9%",,"-2 561,00",,5
Астраханская область,"17 520,00","2 260,00","114,8%","-4 150,00","-6 711,00",4,67
Волгоградская область,"16 897,00","3 412,00","125,3%","-4 773,00","-7 334,00",5,73
г. Севастополь,"16 577,00","5 652,00","151,7%","-5 093,00","-7 654,00",6,76
Краснодарский край,"28 693,00","2 206,00","108,3%","7 023,00","4 462,00",1,12
Республика Адыгея (Адыгея),"17 952,00","2 940,00","119,6%","-3 718,00","-6 279,00",3,65
Республика Калмыкия,"10 598,00","3 353,00","146,3%","-11 072,00","-13 633,00",8,86
Республика Крым,"15 165,00","2 729,00","121,9%","-6 505,00","-9 066,00",7,78
Ростовская область,"20 949,00","2 543,00","113,8%","-721,00","-3 282,00",2,43
