Территория,Значение (январь-февраль 2017г),к АППГ (январь-февраль 2016г)/отклонение,к АППГ (январь-февраль 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"29 177,00","469,00","101,6%",,,,
Дальневосточный федеральный округ,"34 992,00","294,00","100,8%",,"5 815,00",,2
Амурская область,"29 793,00","1 507,00","105,3%","-5 199,00","616,00",8,21
Еврейская автономная область,"23 018,00","-1 035,00","95,7%","-11 974,00","-6 159,00",9,50
Забайкальский край,"22 366,00","1 458,00","107,0%","-12 626,00","-6 811,00",10,55
Камчатская область,,,,,,,
Камчатский край,"37 070,00","-644,00","98,3%","2 078,00","7 893,00",4,12
Корякский автономный округ,,,,,,,
Магаданская область,"49 290,00","-493,00","99,0%","14 298,00","20 113,00",2,5
Приморский край,"31 916,00","578,00","101,8%","-3 076,00","2 739,00",7,17
Республика Бурятия,"22 316,00","-920,00","96,0%","-12 676,00","-6 861,00",11,56
Республика Саха (Якутия),"34 360,00","953,00","102,9%","-632,00","5 183,00",6,14
Сахалинская область,"52 253,00","1 970,00","103,9%","17 261,00","23 076,00",1,4
Хабаровский край,"35 726,00","-1 496,00","96,0%","734,00","6 549,00",5,13
Чукотский автономный округ,"45 641,00","402,00","100,9%","10 649,00","16 464,00",3,6
Приволжский федеральный округ,"23 636,00","-890,00","96,4%",,"-5 541,00",,6
Кировская область,"20 809,00","-1 349,00","93,9%","-2 827,00","-8 368,00",9,66
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"29 084,00","-2 870,00","91,0%","5 448,00","-93,00",1,22
Оренбургская область,"21 959,00","611,00","102,9%","-1 677,00","-7 218,00",8,58
Пензенская область,"20 524,00","1 194,00","106,2%","-3 112,00","-8 653,00",10,69
Пермская область,,,,,,,
Пермский край,"26 516,00","-769,00","97,2%","2 880,00","-2 661,00",2,30
Республика Башкортостан,"25 151,00","972,00","104,0%","1 515,00","-4 026,00",4,36
Республика Марий Эл,"17 776,00","1 149,00","106,9%","-5 860,00","-11 401,00",11,79
Республика Мордовия,"16 253,00","-713,00","95,8%","-7 383,00","-12 924,00",14,83
Республика Татарстан (Татарстан),"26 477,00","-5 166,00","83,7%","2 841,00","-2 700,00",3,31
Самарская область,"24 940,00","308,00","101,3%","1 304,00","-4 237,00",5,37
Саратовская область,"17 578,00","-1 249,00","93,4%","-6 058,00","-11 599,00",12,80
Удмуртская республика,"23 394,00","-34,00","99,9%","-242,00","-5 783,00",6,47
Ульяновская область,"22 671,00","1 955,00","109,4%","-965,00","-6 506,00",7,53
Чувашская Республика-Чувашия,"16 416,00","-528,00","96,9%","-7 220,00","-12 761,00",13,82
