Территория,Значение (январь-сентябрь 2018г),к АППГ (январь-сентябрь 2017г)/отклонение,к АППГ (январь-сентябрь 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"31 566,00","-7,00","100,0%",,,,
Дальневосточный федеральный округ,"32 313,00","-3 607,00","90,0%",,"747,00",,2
Амурская область,"29 632,00","-1 625,00","94,8%","-2 681,00","-1 934,00",8,23
Еврейская автономная область,"21 822,00","-56,00","99,7%","-10 491,00","-9 744,00",11,64
Забайкальский край,"22 202,00","-357,00","98,4%","-10 111,00","-9 364,00",10,62
Камчатская область,,,,,,,
Камчатский край,"41 125,00","-1 097,00","97,4%","8 812,00","9 559,00",4,8
Корякский автономный округ,,,,,,,
Магаданская область,"47 669,00","1 973,00","104,3%","15 356,00","16 103,00",2,5
Приморский край,"31 350,00","-1 172,00","96,4%","-963,00","-216,00",7,19
Республика Бурятия,"23 529,00","-1 025,00","95,8%","-8 784,00","-8 037,00",9,54
Республика Саха (Якутия),"39 764,00","545,00","101,4%","7 451,00","8 198,00",5,10
Сахалинская область,"46 278,00","-1 922,00","96,0%","13 965,00","14 712,00",3,6
Хабаровский край,"36 060,00","765,00","102,2%","3 747,00","4 494,00",6,13
Чукотский автономный округ,"56 145,00","3 267,00","106,2%","23 832,00","24 579,00",1,4
Приволжский федеральный округ,"25 561,00","-510,00","98,0%",,"-6 005,00",,6
Кировская область,"20 593,00","-229,00","98,9%","-4 968,00","-10 973,00",9,73
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"28 344,00","-1 407,00","95,3%","2 783,00","-3 222,00",3,31
Оренбургская область,"23 778,00","-570,00","97,7%","-1 783,00","-7 788,00",6,50
Пензенская область,"20 251,00","-1 470,00","93,2%","-5 310,00","-11 315,00",10,74
Пермская область,,,,,,,
Пермский край,"27 368,00","-2 386,00","92,0%","1 807,00","-4 198,00",4,32
Республика Башкортостан,"30 522,00","-1 485,00","95,4%","4 961,00","-1 044,00",2,21
Республика Марий Эл,"17 462,00","-1 705,00","91,1%","-8 099,00","-14 104,00",12,80
Республика Мордовия,"16 242,00","-534,00","96,8%","-9 319,00","-15 324,00",14,84
Республика Татарстан (Татарстан),"32 178,00","78,00","100,2%","6 617,00","612,00",1,17
Самарская область,"26 924,00","2 250,00","109,1%","1 363,00","-4 642,00",5,34
Саратовская область,"19 869,00","610,00","103,2%","-5 692,00","-11 697,00",11,76
Удмуртская республика,"22 968,00","-994,00","95,9%","-2 593,00","-8 598,00",7,57
Ульяновская область,"21 194,00","-981,00","95,6%","-4 367,00","-10 372,00",8,69
Чувашская Республика-Чувашия,"16 914,00","130,00","100,8%","-8 647,00","-14 652,00",13,82
Северо-Западный федеральный округ,"31 443,00","-438,00","98,6%",,"-123,00",,4
Архангельская область,"30 798,00","409,00","101,3%","-645,00","-768,00",4,20
Архангельская область без авт. округа,"29 437,00","481,00","101,7%","-2 006,00","-2 129,00",5,24
Вологодская область,"25 086,00","-2 238,00","91,8%","-6 357,00","-6 480,00",10,43
