Территория,Значение (январь-ноябрь 2018г),к АППГ (январь-ноябрь 2017г)/отклонение,к АППГ (январь-ноябрь 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"32 282,00","691,00","102,2%",,,,
Дальневосточный федеральный округ,"34 297,00","-2 748,00","92,6%",,"2 015,00",,2
Амурская область,"32 102,00","-732,00","97,8%","-2 195,00","-180,00",8,18
Еврейская автономная область,"21 871,00","-956,00","95,8%","-12 426,00","-10 411,00",9,67
Забайкальский край,,,,,,,
Камчатская область,,,,,,,
Камчатский край,"41 447,00","2 304,00","105,9%","7 150,00","9 165,00",5,9
Корякский автономный округ,,,,,,,
Магаданская область,"57 226,00","2 708,00","105,0%","22 929,00","24 944,00",2,5
Приморский край,"33 053,00","-791,00","97,7%","-1 244,00","771,00",7,17
Республика Бурятия,,,,,,,
Республика Саха (Якутия),"43 212,00","1 659,00","104,0%","8 915,00","10 930,00",4,8
Сахалинская область,"46 334,00","-1 286,00","97,3%","12 037,00","14 052,00",3,6
Хабаровский край,"38 327,00","2 564,00","107,2%","4 030,00","6 045,00",6,12
Чукотский автономный округ,"60 480,00","5 770,00","110,5%","26 183,00","28 198,00",1,4
Приволжский федеральный округ,"26 038,00","-34,00","99,9%",,"-6 244,00",,6
Кировская область,"19 952,00","-559,00","97,3%","-6 086,00","-12 330,00",11,74
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"29 875,00","330,00","101,1%","3 837,00","-2 407,00",3,23
Оренбургская область,"23 547,00","576,00","102,5%","-2 491,00","-8 735,00",6,54
Пензенская область,"20 619,00","-1 454,00","93,4%","-5 419,00","-11 663,00",9,71
Пермская область,,,,,,,
Пермский край,"27 702,00","-601,00","97,9%","1 664,00","-4 580,00",4,33
Республика Башкортостан,"31 919,00","-266,00","99,2%","5 881,00","-363,00",2,19
Республика Марий Эл,"18 127,00","-618,00","96,7%","-7 911,00","-14 155,00",12,78
Республика Мордовия,"17 033,00","-762,00","95,7%","-9 005,00","-15 249,00",13,81
Республика Татарстан (Татарстан),"34 086,00","1 807,00","105,6%","8 048,00","1 804,00",1,15
Самарская область,"25 192,00","-1 106,00","95,8%","-846,00","-7 090,00",5,43
Саратовская область,"20 095,00","661,00","103,4%","-5 943,00","-12 187,00",10,72
Удмуртская республика,"22 613,00","-415,00","98,2%","-3 425,00","-9 669,00",7,59
Ульяновская область,"22 196,00","-1 062,00","95,4%","-3 842,00","-10 086,00",8,61
Чувашская Республика-Чувашия,"16 209,00","-284,00","98,3%","-9 829,00","-16 073,00",14,83
Северо-Западный федеральный округ,"31 907,00","-1 134,00","96,6%",,"-375,00",,3
Архангельская область,"29 101,00","-2 771,00","91,3%","-2 806,00","-3 181,00",4,26
Архангельская область без авт. округа,"27 728,00","-2 814,00","90,8%","-4 179,00","-4 554,00",6,32
Вологодская область,"25 042,00","-509,00","98,0%","-6 865,00","-7 240,00",10,44
г. Санкт-Петербург,"40 254,00","-1 289,00","96,9%","8 347,00","7 972,00",2,11
Калининградская область,"25 651,00","-1 055,00","96,0%","-6 256,00","-6 631,00",9,42
Ленинградская область,"26 155,00","-1 009,00","96,3%","-5 752,00","-6 127,00",8,39
Мурманская область,"33 507,00","-3 062,00","91,6%","1 600,00","1 225,00",3,16
Ненецкий автономный округ,"63 794,00","-2 027,00","96,9%","31 887,00","31 512,00",1,1
Новгородская область,"24 326,00","-175,00","99,3%","-7 581,00","-7 956,00",11,49
Псковская область,"21 251,00","-771,00","96,5%","-10 656,00","-11 031,00",12,70
Республика Карелия,"26 359,00","191,00","100,7%","-5 548,00","-5 923,00",7,37
Республика Коми,"28 252,00","-147,00","99,5%","-3 655,00","-4 030,00",5,30
Северо-Кавказский федеральный округ,"24 636,00","-2 103,00","92,1%",,"-7 646,00",,7
Кабардино-Балкарская Республика,"21 735,00","-918,00","95,9%","-2 901,00","-10 547,00",5,68
Карачаево-Черкесская Республика,"17 519,00","57,00","100,3%","-7 117,00","-14 763,00",6,80
Республика Дагестан,"30 521,00","-5 812,00","84,0%","5 885,00","-1 761,00",1,21
Республика Ингушетия,"15 865,00","-749,00","95,5%","-8 771,00","-16 417,00",7,84
Республика Северная Осетия-Алания,"21 976,00","-101,00","99,5%","-2 660,00","-10 306,00",4,65
Ставропольский край,"22 814,00","-376,00","98,4%","-1 822,00","-9 468,00",3,57
Чеченская республика,"23 976,00","-480,00","98,0%","-660,00","-8 306,00",2,50
Сибирский федеральный округ,"22 817,00","-719,00","96,9%",,"-9 465,00",,8
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"22 257,00","-795,00","96,6%","-560,00","-10 025,00",5,60
Иркутская область,"22 115,00","-99,00","99,6%","-702,00","-10 167,00",6,63
Кемеровская область,"19 883,00","-1 933,00","91,1%","-2 934,00","-12 399,00",7,75
Красноярский край,"26 896,00","-746,00","97,3%","4 079,00","-5 386,00",1,36
Новосибирская область,"23 510,00","-891,00","96,3%","693,00","-8 772,00",4,55
Омская область,"23 830,00","-1 212,00","95,2%","1 013,00","-8 452,00",3,52
Республика Алтай,"17 967,00","-186,00","99,0%","-4 850,00","-14 315,00",9,79
Республика Тыва,"14 071,00","82,00","100,6%","-8 746,00","-18 211,00",10,85
Республика Хакасия,"18 922,00","556,00","103,0%","-3 895,00","-13 360,00",8,77
Таймырский автономный округ,,,,,,,
Томская область,"23 957,00","1 878,00","108,5%","1 140,00","-8 325,00",2,51
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"31 861,00","-241,00","99,2%",,"-421,00",,4
Курганская область,"19 485,00","-949,00","95,4%","-12 376,00","-12 797,00",7,76
Свердловская область,"36 952,00","1 798,00","105,1%","5 091,00","4 670,00",4,14
Тюменская область,"37 962,00","-1 767,00","95,6%","6 101,00","5 680,00",3,13
Тюменская область без авт. округов,"26 982,00","-2 054,00","92,9%","-4 879,00","-5 300,00",5,35
Ханты-Мансийский автономный округ,"40 448,00","-2 538,00","94,1%","8 587,00","8 166,00",2,10
Челябинская область,"22 103,00","-1 101,00","95,3%","-9 758,00","-10 179,00",6,64
Ямало-Ненецкий автономный округ,"60 879,00","1 672,00","102,8%","29 018,00","28 597,00",1,2
Центральный федеральный округ,"40 800,00","897,00","102,2%",,"8 518,00",,1
Белгородская область,"29 534,00","-213,00","99,3%","-11 266,00","-2 748,00",5,25
Брянская область,"28 473,00","2 141,00","108,1%","-12 327,00","-3 809,00",6,28
Владимирская область,"22 781,00","-1 147,00","95,2%","-18 019,00","-9 501,00",17,58
Воронежская область,"29 821,00","-153,00","99,5%","-10 979,00","-2 461,00",4,24
г. Москва,"60 646,00","884,00","101,5%","19 846,00","28 364,00",1,3
Ивановская область,"23 570,00","-829,00","96,6%","-17 230,00","-8 712,00",15,53
Калужская область,"26 292,00","-1 885,00","93,3%","-14 508,00","-5 990,00",10,38
Костромская область,"21 886,00","-1 879,00","92,1%","-18 914,00","-10 396,00",18,66
Курская область,"28 320,00","671,00","102,4%","-12 480,00","-3 962,00",7,29
Липецкая область,"30 809,00","1 808,00","106,2%","-9 991,00","-1 473,00",3,20
Московская область,"43 980,00","3 085,00","107,5%","3 180,00","11 698,00",2,7
