Территория,Значение (январь-март 2018г),к АППГ (январь-март 2017г)/отклонение,к АППГ (январь-март 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"44 756,00","15 058,00","150,7%",,,,
Дальневосточный федеральный округ,"33 195,00","-2 216,00","93,7%",,"-11 561,00",,8
Амурская область,"40 878,00","10 945,00","136,6%","7 683,00","-3 878,00",8,25
Еврейская автономная область,"32 670,00","9 796,00","142,8%","-525,00","-12 086,00",9,54
Забайкальский край,"21 844,00","-238,00","98,9%","-11 351,00","-22 912,00",11,85
Камчатская область,,,,,,,
Камчатский край,"62 607,00","25 184,00","167,3%","29 412,00","17 851,00",3,8
Корякский автономный округ,,,,,,,
Магаданская область,"70 984,00","24 287,00","152,0%","37 789,00","26 228,00",2,5
Приморский край,"45 600,00","12 543,00","137,9%","12 405,00","844,00",7,18
Республика Бурятия,"23 113,00","1 642,00","107,6%","-10 082,00","-21 643,00",10,83
Республика Саха (Якутия),"52 875,00","16 637,00","145,9%","19 680,00","8 119,00",6,14
Сахалинская область,"62 419,00","14 011,00","128,9%","29 224,00","17 663,00",4,9
Хабаровский край,"54 238,00","17 962,00","149,5%","21 043,00","9 482,00",5,13
Чукотский автономный округ,"148 895,00","105 090,00","339,9%","115 700,00","104 139,00",1,1
Приволжский федеральный округ,"34 045,00","9 451,00","138,4%",,"-10 711,00",,6
Кировская область,"29 896,00","8 968,00","142,9%","-4 149,00","-14 860,00",8,68
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"39 072,00","8 276,00","126,9%","5 027,00","-5 684,00",2,27
Оренбургская область,"27 486,00","4 995,00","122,2%","-6 559,00","-17 270,00",10,73
Пензенская область,"28 911,00","7 221,00","133,3%","-5 134,00","-15 845,00",9,70
Пермская область,,,,,,,
Пермский край,"38 231,00","11 673,00","144,0%","4 186,00","-6 525,00",3,31
Республика Башкортостан,"37 933,00","13 852,00","157,5%","3 888,00","-6 823,00",4,32
