Территория,Значение (январь-июнь 2018г),к АППГ (январь-июнь 2017г)/отклонение,к АППГ (январь-июнь 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"68,79","-0,05","99,9%",,,,
Дальневосточный федеральный округ,"70,26","-0,42","99,4%",,"1,46",,3
Амурская область,"67,23","-1,61","97,7%","-3,03","-1,56",8,48
Еврейская автономная область,"64,67","-4,01","94,2%","-5,59","-4,13",11,73
Забайкальский край,"67,18","-0,05","99,9%","-3,07","-1,61",9,51
Камчатская область,,,,,,,
Камчатский край,"72,27","0,01","100,0%","2,02","3,48",4,12
Корякский автономный округ,,,,,,,
Магаданская область,"74,92","-2,89","96,3%","4,66","6,12",2,4
Приморский край,"69,29","-0,02","100,0%","-0,97","0,49",7,28
Республика Бурятия,"65,09","2,40","103,8%","-5,17","-3,71",10,68
Республика Саха (Якутия),"70,88","0,06","100,1%","0,63","2,09",6,16
Сахалинская область,"73,30","0,77","101,1%","3,04","4,50",3,9
Хабаровский край,"71,13","-0,57","99,2%","0,88","2,34",5,15
Чукотский автономный округ,"81,57","1,94","102,4%","11,31","12,77",1,1
Приволжский федеральный округ,"67,41","-0,73","98,9%",,"-1,38",,5
Кировская область,"68,51","-0,02","100,0%","1,10","-0,28",5,35
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,56","-0,29","99,6%","4,15","2,77",1,14
Оренбургская область,"68,08","-0,89","98,7%","0,67","-0,72",6,39
Пензенская область,"66,28","0,17","100,3%","-1,13","-2,51",9,59
Пермская область,,,,,,,
Пермский край,"63,90","-0,81","98,7%","-3,51","-4,89",13,80
Республика Башкортостан,"65,36","0,34","100,5%","-2,05","-3,43",10,65
Республика Марий Эл,"64,12","-2,91","95,7%","-3,29","-4,68",12,76
Республика Мордовия,"66,81","-3,54","95,0%","-0,61","-1,99",8,56
Республика Татарстан (Татарстан),"70,07","-0,93","98,7%","2,66","1,28",2,22
Самарская область,"69,06","-1,31","98,1%","1,65","0,27",4,30
Саратовская область,"63,00","-1,24","98,1%","-4,42","-5,80",14,84
Удмуртская республика,"69,87","-0,59","99,2%","2,46","1,07",3,26
Ульяновская область,"64,87","-0,93","98,6%","-2,54","-3,93",11,71
Чувашская Республика-Чувашия,"67,63","-0,48","99,3%","0,22","-1,16",7,44
Северо-Западный федеральный округ,"70,67","-0,62","99,1%",,"1,88",,2
Архангельская область,"67,21","0,34","100,5%","-3,46","-1,58",7,50
Архангельская область без авт. округа,"66,98","0,07","100,1%","-3,69","-1,82",8,53
Вологодская область,"65,68","-1,26","98,1%","-4,99","-3,12",11,63
г. Санкт-Петербург,"74,75","0,04","100,1%","4,08","5,95",1,5
Калининградская область,"69,98","1,88","102,8%","-0,69","1,19",5,25
Ленинградская область,"70,45","-1,80","97,5%","-0,22","1,65",4,20
Мурманская область,"73,14","-1,43","98,1%","2,47","4,35",3,10
Ненецкий автономный округ,"73,42","7,56","111,5%","2,75","4,63",2,7
Новгородская область,"67,22","-2,40","96,6%","-3,45","-1,58",6,49
Псковская область,"63,96","-0,73","98,9%","-6,71","-4,83",12,79
Республика Карелия,"66,40","-1,19","98,2%","-4,27","-2,40",9,58
Республика Коми,"66,00","-3,24","95,3%","-4,67","-2,79",10,60
Северо-Кавказский федеральный округ,"66,26","1,09","101,7%",,"-2,54",,8
Кабардино-Балкарская Республика,"70,69","1,76","102,6%","4,43","1,90",2,18
Карачаево-Черкесская Республика,"64,10","3,28","105,4%","-2,16","-4,70",6,77
Республика Дагестан,"63,54","0,58","100,9%","-2,72","-5,26",7,82
Республика Ингушетия,"74,26","-0,98","98,7%","8,00","5,47",1,6
Республика Северная Осетия-Алания,"67,35","2,63","104,1%","1,09","-1,44",4,46
Ставропольский край,"65,63","1,50","102,3%","-0,63","-3,17",5,64
Чеченская республика,"68,38","-0,10","99,8%","2,12","-0,41",3,37
Сибирский федеральный округ,"66,66","-0,10","99,9%",,"-2,14",,6
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"64,07","0,81","101,3%","-2,59","-4,72",9,78
Иркутская область,"66,68","-0,87","98,7%","0,02","-2,12",5,57
Кемеровская область,"64,93","-1,03","98,4%","-1,73","-3,86",7,70
Красноярский край,"68,44","-0,74","98,9%","1,78","-0,36",2,36
Новосибирская область,"67,53","0,13","100,2%","0,87","-1,27",4,45
Омская область,"69,59","-0,05","99,9%","2,94","0,80",1,27
Республика Алтай,"64,78","-1,09","98,3%","-1,88","-4,01",8,72
Республика Тыва,"60,28","0,94","101,6%","-6,37","-8,51",10,86
Республика Хакасия,"65,05","-0,90","98,6%","-1,61","-3,74",6,69
Таймырский автономный округ,,,,,,,
Томская область,"67,81","1,06","101,6%","1,15","-0,98",3,42
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,18","0,03","100,0%",,"0,38",,4
Курганская область,"60,47","-3,48","94,6%","-8,70","-8,32",7,85
Свердловская область,"67,15","0,42","100,6%","-2,02","-1,64",5,52
Тюменская область,"70,87","-0,28","99,6%","1,69","2,07",4,17
Тюменская область без авт. округов,"65,92","-0,60","99,1%","-3,25","-2,87",6,62
Ханты-Мансийский автономный округ,"73,35","-0,07","99,9%","4,17","4,56",2,8
Челябинская область,"71,98","0,69","101,0%","2,80","3,18",3,13
Ямало-Ненецкий автономный округ,"76,55","0,07","100,1%","7,37","7,76",1,2
Центральный федеральный округ,"71,41","0,37","100,5%",,"2,61",,1
Белгородская область,"70,08","-0,11","99,8%","-1,33","1,29",4,21
Брянская область,"65,34","-0,52","99,2%","-6,07","-3,46",14,66
Владимирская область,"68,30","-2,23","96,8%","-3,10","-0,49",10,38
Воронежская область,"66,97","0,61","100,9%","-4,44","-1,82",13,54
г. Москва,"76,02","1,02","101,4%","4,61","7,22",1,3
Ивановская область,"67,82","-0,51","99,3%","-3,58","-0,97",11,41
Калужская область,"70,06","0,86","101,3%","-1,35","1,27",5,23
Костромская область,"64,50","-1,24","98,1%","-6,91","-4,30",16,74
Курская область,"67,75","-0,12","99,8%","-3,66","-1,05",12,43
Липецкая область,"70,03","0,55","100,8%","-1,38","1,24",6,24
Московская область,"72,93","0,08","100,1%","1,52","4,13",2,11
Орловская область,"65,17","-0,46","99,3%","-6,24","-3,62",15,67
Рязанская область,"63,89","1,58","102,5%","-7,52","-4,91",18,81
Смоленская область,"68,74","-0,34","99,5%","-2,67","-0,05",9,32
Тамбовская область,"64,49","-0,53","99,2%","-6,92","-4,30",17,75
Тверская область,"70,50","1,12","101,6%","-0,90","1,71",3,19
Тульская область,"69,25","0,25","100,4%","-2,16","0,46",7,29
Ярославская область,"69,02","0,56","100,8%","-2,39","0,22",8,31
Южный федеральный округ,"66,41","0,14","100,2%",,"-2,39",,7
Астраханская область,"68,71","-2,30","96,8%","2,30","-0,09",1,33
Волгоградская область,"68,04","3,21","105,0%","1,63","-0,75",3,40
г. Севастополь,"68,65","3,95","106,1%","2,24","-0,15",2,34
Краснодарский край,"66,90","-0,12","99,8%","0,50","-1,89",5,55
Республика Адыгея (Адыгея),"60,09","-0,10","99,8%","-6,31","-8,70",8,87
Республика Калмыкия,"67,26","2,29","103,5%","0,86","-1,53",4,47
Республика Крым,"63,42","-0,51","99,2%","-2,99","-5,38",7,83
Ростовская область,"65,96","-1,00","98,5%","-0,45","-2,83",6,61
