Территория,Значение (январь-октябрь 2018г),к АППГ (январь-октябрь 2017г)/отклонение,к АППГ (январь-октябрь 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"69,17","-0,33","99,5%",,,,
Дальневосточный федеральный округ,"70,96","0,27","100,4%",,"1,79",,2
Амурская область,"68,80","1,13","101,7%","-2,16","-0,37",8,39
Еврейская автономная область,"64,73","-0,30","99,5%","-6,23","-4,44",11,74
Забайкальский край,"66,80","-0,34","99,5%","-4,16","-2,37",9,57
Камчатская область,,,,,,,
Камчатский край,"72,23","0,00","100,0%","1,27","3,06",4,11
Корякский автономный округ,,,,,,,
Магаданская область,"76,81","-3,47","95,7%","5,85","7,64",2,3
Приморский край,"70,68","1,27","101,8%","-0,28","1,51",6,20
Республика Бурятия,"65,40","-0,55","99,2%","-5,56","-3,77",10,68
Республика Саха (Якутия),"71,60","1,10","101,6%","0,64","2,43",5,16
Сахалинская область,"75,08","0,72","101,0%","4,11","5,90",3,5
Хабаровский край,"70,17","-1,75","97,6%","-0,80","0,99",7,24
Чукотский автономный округ,"78,89","-3,31","96,0%","7,93","9,72",1,1
Приволжский федеральный округ,"68,27","-0,50","99,3%",,"-0,90",,5
Кировская область,"68,38","-0,78","98,9%","0,10","-0,80",7,44
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,38","-0,33","99,5%","3,11","2,21",2,17
Оренбургская область,"70,58","1,67","102,4%","2,31","1,41",3,21
Пензенская область,"68,81","2,34","103,5%","0,53","-0,37",6,38
Пермская область,,,,,,,
Пермский край,"65,11","-0,38","99,4%","-3,16","-4,06",12,70
Республика Башкортостан,"65,07","-3,58","94,8%","-3,20","-4,10",13,71
Республика Марий Эл,"65,93","-1,91","97,2%","-2,35","-3,25",11,62
Республика Мордовия,"67,76","-2,04","97,1%","-0,52","-1,42",8,49
Республика Татарстан (Татарстан),"70,24","-0,91","98,7%","1,97","1,06",4,23
Самарская область,"71,77","0,87","101,2%","3,49","2,59",1,15
Саратовская область,"64,67","0,58","100,9%","-3,60","-4,50",14,76
Удмуртская республика,"68,98","0,03","100,0%","0,71","-0,19",5,34
Ульяновская область,"66,78","-1,04","98,5%","-1,50","-2,40",10,58
Чувашская Республика-Чувашия,"67,00","-0,45","99,3%","-1,27","-2,17",9,55
Северо-Западный федеральный округ,"70,47","-0,85","98,8%",,"1,30",,3
Архангельская область,"64,97","-2,40","96,4%","-5,50","-4,20",10,72
Архангельская область без авт. округа,"64,81","-2,61","96,1%","-5,66","-4,36",11,73
Вологодская область,"64,49","-1,93","97,1%","-5,98","-4,68",12,77
г. Санкт-Петербург,"74,76","-0,15","99,8%","4,29","5,59",1,6
Калининградская область,"69,10","-0,65","99,1%","-1,37","-0,07",5,31
Ленинградская область,"69,04","-2,52","96,5%","-1,43","-0,13",6,33
Мурманская область,"72,21","-2,85","96,2%","1,74","3,04",2,13
Ненецкий автономный округ,"69,14","3,09","104,7%","-1,33","-0,03",4,30
Новгородская область,"67,86","-1,35","98,0%","-2,61","-1,31",7,48
