Территория,Значение (январь-март 2017г),к АППГ (январь-март 2016г)/отклонение,к АППГ (январь-март 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"68,77","-0,14","99,8%",,,,
Дальневосточный федеральный округ,"70,68","0,54","100,8%",,"1,92",,3
Амурская область,"68,14","0,32","100,5%","-2,54","-0,62",8,41
Еврейская автономная область,"65,14","-1,09","98,4%","-5,55","-3,63",10,70
Забайкальский край,"67,24","0,27","100,4%","-3,44","-1,53",9,49
Камчатская область,,,,,,,
Камчатский край,"71,59","-2,62","96,5%","0,90","2,82",5,16
Корякский автономный округ,,,,,,,
Магаданская область,"76,70","-0,68","99,1%","6,02","7,94",2,2
Приморский край,"69,52","-0,46","99,3%","-1,16","0,75",7,26
Республика Бурятия,"58,81","-4,43","93,0%","-11,87","-9,96",11,85
Республика Саха (Якутия),"70,82","1,40","102,0%","0,13","2,05",6,19
Сахалинская область,"73,02","0,57","100,8%","2,34","4,25",3,10
Хабаровский край,"72,33","2,71","103,9%","1,65","3,56",4,11
Чукотский автономный округ,"80,23","-2,05","97,5%","9,54","11,46",1,1
Приволжский федеральный округ,"68,01","-0,44","99,4%",,"-0,76",,5
Кировская область,"68,99","-0,34","99,5%","0,98","0,23",5,32
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,91","0,57","100,8%","3,91","3,15",1,13
Оренбургская область,"66,31","-1,16","98,3%","-1,70","-2,45",11,57
Пензенская область,"64,47","-3,90","94,3%","-3,54","-4,30",13,74
Пермская область,,,,,,,
Пермский край,"67,18","0,41","100,6%","-0,83","-1,59",8,51
Республика Башкортостан,"64,97","-0,97","98,5%","-3,04","-3,80",12,72
Республика Марий Эл,"67,08","0,09","100,1%","-0,93","-1,69",9,52
Республика Мордовия,"68,41","-2,63","96,3%","0,41","-0,35",7,40
Республика Татарстан (Татарстан),"70,16","-0,25","99,6%","2,15","1,39",4,23
Самарская область,"70,22","-0,26","99,6%","2,21","1,45",2,21
Саратовская область,"64,45","0,50","100,8%","-3,55","-4,31",14,75
Удмуртская республика,"70,21","0,05","100,1%","2,21","1,45",3,22
Ульяновская область,"66,62","-0,40","99,4%","-1,38","-2,14",10,55
Чувашская Республика-Чувашия,"68,46","-0,92","98,7%","0,45","-0,30",6,37
