Территория,Значение (январь-август 2017г),к АППГ (январь-август 2016г)/отклонение,к АППГ (январь-август 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"69,25","-0,79","98,9%",,,,
Дальневосточный федеральный округ,"70,43","-0,53","99,3%",,"1,18",,3
Амурская область,"68,28","0,11","100,2%","-2,15","-0,97",8,46
Еврейская автономная область,"67,95","1,03","101,5%","-2,48","-1,30",9,48
Забайкальский край,"67,23","0,50","100,7%","-3,19","-2,02",10,56
Камчатская область,,,,,,,
Камчатский край,"72,63","-0,88","98,8%","2,20","3,37",4,11
Корякский автономный округ,,,,,,,
Магаданская область,"83,07","6,22","108,1%","12,64","13,82",1,1
Приморский край,"69,43","-0,63","99,1%","-1,00","0,17",7,34
Республика Бурятия,"64,20","-0,73","98,9%","-6,23","-5,05",11,81
Республика Саха (Якутия),"70,63","0,62","100,9%","0,20","1,38",5,26
Сахалинская область,"73,69","-0,56","99,2%","3,26","4,44",3,8
Хабаровский край,"69,78","-2,44","96,6%","-0,64","0,53",6,32
Чукотский автономный округ,"80,17","0,28","100,3%","9,74","10,92",2,2
Приволжский федеральный округ,"68,62","-1,17","98,3%",,"-0,63",,5
Кировская область,"70,24","-0,04","99,9%","1,62","0,99",6,30
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,77","0,19","100,3%","3,15","2,52",1,13
Оренбургская область,"68,73","1,06","101,6%","0,10","-0,53",7,40
Пензенская область,"64,84","-4,82","93,1%","-3,78","-4,41",12,74
Пермская область,,,,,,,
Пермский край,"64,39","-2,35","96,5%","-4,23","-4,86",13,80
Республика Башкортостан,"67,58","0,58","100,9%","-1,04","-1,67",10,53
Республика Марий Эл,"67,77","-2,38","96,6%","-0,85","-1,48",9,51
Республика Мордовия,"70,90","-0,67","99,1%","2,28","1,65",3,23
Республика Татарстан (Татарстан),"71,42","-0,63","99,1%","2,80","2,17",2,16
Самарская область,"70,62","-2,77","96,2%","2,00","1,37",5,27
Саратовская область,"63,88","-3,88","94,3%","-4,74","-5,37",14,83
Удмуртская республика,"70,86","-0,05","99,9%","2,23","1,61",4,24
Ульяновская область,"66,81","-1,04","98,5%","-1,81","-2,44",11,62
Чувашская Республика-Чувашия,"68,62","-1,86","97,4%","-0,01","-0,64",8,41
Северо-Западный федеральный округ,"71,78","-0,03","100,0%",,"2,53",,1
Архангельская область,"69,02","3,45","105,3%","-2,77","-0,23",6,37
Архангельская область без авт. округа,"69,17","3,91","106,0%","-2,62","-0,09",5,36
Вологодская область,"67,91","-2,32","96,7%","-3,87","-1,34",9,49
г. Санкт-Петербург,"74,91","0,13","100,2%","3,13","5,66",2,6
Калининградская область,"69,22","-0,48","99,3%","-2,57","-0,04",4,35
Ленинградская область,"72,16","1,62","102,3%","0,37","2,91",3,12
Мурманская область,"76,49","1,30","101,7%","4,71","7,24",1,5
Ненецкий автономный округ,"65,07","-8,86","88,0%","-6,72","-4,19",12,73
Новгородская область,"68,30","-1,51","97,8%","-3,49","-0,95",8,45
Псковская область,"67,00","-1,88","97,3%","-4,78","-2,25",11,59
Республика Карелия,"67,37","-2,83","96,0%","-4,41","-1,88",10,55
Республика Коми,"68,43","-2,58","96,4%","-3,35","-0,82",7,43
Северо-Кавказский федеральный округ,"65,52","-0,26","99,6%",,"-3,74",,8
Кабардино-Балкарская Республика,"68,91","-0,61","99,1%","3,40","-0,34",2,39
Карачаево-Черкесская Республика,"60,28","-1,30","97,9%","-5,24","-8,98",7,86
Республика Дагестан,"63,03","0,46","100,7%","-2,49","-6,23",6,85
Республика Ингушетия,"77,39","4,65","106,4%","11,87","8,13",1,4
Республика Северная Осетия-Алания,"65,86","1,62","102,5%","0,34","-3,39",4,69
Ставропольский край,"64,76","-1,47","97,8%","-0,76","-4,49",5,76
Чеченская республика,"68,34","-1,42","98,0%","2,82","-0,91",3,44
Сибирский федеральный округ,"67,30","-1,38","98,0%",,"-1,95",,6
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"64,50","-1,97","97,0%","-2,81","-4,76",9,79
Иркутская область,"66,92","-2,41","96,5%","-0,38","-2,33",4,60
Кемеровская область,"66,32","-1,05","98,4%","-0,98","-2,93",7,66
Красноярский край,"69,48","0,40","100,6%","2,18","0,23",2,33
Новосибирская область,"68,59","-2,04","97,1%","1,29","-0,66",3,42
Омская область,"70,36","-1,49","97,9%","3,06","1,11",1,29
Республика Алтай,"65,78","-2,97","95,7%","-1,52","-3,47",8,70
Республика Тыва,"63,04","0,99","101,6%","-4,26","-6,21",10,84
Республика Хакасия,"66,37","-1,84","97,3%","-0,93","-2,88",6,65
Таймырский автономный округ,,,,,,,
Томская область,"66,61","-4,06","94,3%","-0,69","-2,64",5,63
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,43","-0,91","98,7%",,"0,18",,4
Курганская область,"64,61","-1,24","98,1%","-4,82","-4,64",7,77
Свердловская область,"67,23","-1,70","97,5%","-2,20","-2,03",5,57
Тюменская область,"71,19","-1,23","98,3%","1,76","1,94",4,17
Тюменская область без авт. округов,"66,22","-1,98","97,1%","-3,21","-3,03",6,67
Ханты-Мансийский автономный округ,"73,45","-1,19","98,4%","4,02","4,20",2,9
Челябинская область,"71,48","0,46","100,6%","2,05","2,23",3,15
Ямало-Ненецкий автономный округ,"77,49","0,83","101,1%","8,06","8,24",1,3
Центральный федеральный округ,"71,37","-0,81","98,9%",,"2,12",,2
Белгородская область,"70,23","0,06","100,1%","-1,15","0,97",10,31
Брянская область,"65,91","-1,67","97,5%","-5,46","-3,34",15,68
Владимирская область,"70,83","-0,54","99,2%","-0,54","1,58",8,25
Воронежская область,"66,86","0,18","100,3%","-4,51","-2,39",14,61
г. Москва,"74,56","-2,57","96,7%","3,19","5,31",1,7
Ивановская область,"70,53","1,11","101,6%","-0,84","1,28",9,28
Калужская область,"71,03","0,13","100,2%","-0,34","1,78",4,19
Костромская область,"67,63","-0,36","99,5%","-3,74","-1,62",13,52
Курская область,"67,86","0,01","100,0%","-3,51","-1,39",12,50
Липецкая область,"70,92","0,14","100,2%","-0,46","1,67",7,22
Московская область,"72,94","-0,08","99,9%","1,57","3,69",2,10
Орловская область,"65,36","-1,62","97,6%","-6,02","-3,89",16,72
Рязанская область,"64,18","0,37","100,6%","-7,20","-5,07",18,82
Смоленская область,"71,52","1,96","102,8%","0,15","2,27",3,14
Тамбовская область,"64,79","0,18","100,3%","-6,58","-4,46",17,75
Тверская область,"71,03","0,74","101,1%","-0,35","1,78",5,20
Тульская область,"68,94","-0,85","98,8%","-2,43","-0,31",11,38
Ярославская область,"71,00","0,33","100,5%","-0,37","1,75",6,21
Южный федеральный округ,"66,86","-0,33","99,5%",,"-2,39",,7
Астраханская область,"71,13","1,72","102,5%","4,27","1,87",1,18
Волгоградская область,"67,46","0,59","100,9%","0,60","-1,79",3,54
г. Севастополь,"64,52","3,45","105,7%","-2,34","-4,73",7,78
Краснодарский край,"67,09","-0,44","99,3%","0,23","-2,17",4,58
Республика Адыгея (Адыгея),"60,17","-0,89","98,5%","-6,69","-9,08",8,87
Республика Калмыкия,"68,18","-0,73","98,9%","1,32","-1,07",2,47
Республика Крым,"65,78","0,11","100,2%","-1,08","-3,48",6,71
Ростовская область,"66,53","-1,66","97,6%","-0,33","-2,72",5,64
