Территория,Значение (январь 2018г),к АППГ (январь 2017г)/отклонение,к АППГ (январь 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"69,02","-0,39","99,4%",,,,
Дальневосточный федеральный округ,"70,50","-0,41","99,4%",,"1,48",,3
Амурская область,"66,98","-0,06","99,9%","-3,51","-2,04",8,52
Еврейская автономная область,"65,21","-1,26","98,1%","-5,28","-3,81",10,70
Забайкальский край,"66,97","0,13","100,2%","-3,53","-2,05",9,53
Камчатская область,,,,,,,
Камчатский край,"72,14","0,98","101,4%","1,65","3,12",4,11
Корякский автономный округ,,,,,,,
Магаданская область,"75,70","0,24","100,3%","5,21","6,68",2,5
Приморский край,"71,00","-0,02","100,0%","0,51","1,98",6,20
Республика Бурятия,"62,68","2,43","104,0%","-7,82","-6,34",11,83
Республика Саха (Якутия),"69,33","-1,01","98,6%","-1,17","0,31",7,32
Сахалинская область,"72,97","-0,11","99,9%","2,47","3,95",3,9
Хабаровский край,"71,05","-0,97","98,7%","0,55","2,03",5,19
Чукотский автономный округ,"79,50","-6,36","92,6%","9,00","10,48",1,2
Приволжский федеральный округ,"67,86","-0,69","99,0%",,"-1,16",,5
Кировская область,"69,66","-0,81","98,8%","1,80","0,64",3,28
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,67","0,02","100,0%","3,81","2,65",1,15
Оренбургская область,"67,98","-0,53","99,2%","0,12","-1,04",6,41
Пензенская область,"66,78","0,64","101,0%","-1,08","-2,24",9,57
Пермская область,,,,,,,
Пермский край,"65,66","-1,03","98,5%","-2,20","-3,36",13,66
Республика Башкортостан,"66,42","-0,39","99,4%","-1,44","-2,60",12,64
Республика Марий Эл,"67,00","-0,68","99,0%","-0,85","-2,02",8,50
Республика Мордовия,"67,94","-2,08","97,0%","0,09","-1,08",7,42
Республика Татарстан (Татарстан),"70,00","-0,90","98,7%","2,14","0,98",2,26
Самарская область,"69,55","0,05","100,1%","1,69","0,53",4,29
Саратовская область,"62,04","-1,90","97,0%","-5,82","-6,98",14,86
Удмуртская республика,"69,35","-1,25","98,2%","1,49","0,33",5,31
Ульяновская область,"66,77","0,10","100,2%","-1,09","-2,25",10,58
Чувашская Республика-Чувашия,"66,52","-2,50","96,4%","-1,34","-2,50",11,61
Северо-Западный федеральный округ,"70,65","-1,08","98,5%",,"1,63",,2
Архангельская область,"64,51","-3,74","94,5%","-6,14","-4,51",11,73
Архангельская область без авт. округа,"64,32","-3,63","94,7%","-6,33","-4,70",12,76
Вологодская область,"65,44","-1,47","97,8%","-5,21","-3,58",10,67
г. Санкт-Петербург,"74,66","-0,58","99,2%","4,01","5,64",1,6
Калининградская область,"72,03","1,33","101,9%","1,38","3,01",2,12
Ленинградская область,"69,85","-0,67","99,0%","-0,80","0,83",4,27
Мурманская область,"71,76","-2,45","96,7%","1,11","2,74",3,14
Ненецкий автономный округ,"69,49","-6,76","91,1%","-1,16","0,47",5,30
Новгородская область,"67,49","-1,68","97,6%","-3,15","-1,53",7,46
Псковская область,"66,23","-2,73","96,0%","-4,42","-2,79",9,65
Республика Карелия,"66,99","-0,43","99,4%","-3,65","-2,03",8,51
Республика Коми,"68,23","-1,41","98,0%","-2,41","-0,79",6,40
Северо-Кавказский федеральный округ,"65,72","0,03","100,0%",,"-3,30",,8
Кабардино-Балкарская Республика,"68,45","2,56","103,9%","2,73","-0,57",2,37
Карачаево-Черкесская Республика,"64,34","2,65","104,3%","-1,38","-4,68",5,75
Республика Дагестан,"63,00","-0,57","99,1%","-2,72","-6,02",7,81
Республика Ингушетия,"79,87","6,22","108,4%","14,15","10,85",1,1
Республика Северная Осетия-Алания,"67,76","2,75","104,2%","2,04","-1,26",4,44
Ставропольский край,"64,06","-1,65","97,5%","-1,66","-4,96",6,77
Чеченская республика,"68,38","-1,24","98,2%","2,66","-0,64",3,39
Сибирский федеральный округ,"67,03","-0,13","99,8%",,"-1,99",,6
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"65,24","0,67","101,0%","-1,79","-3,78",7,69
Иркутская область,"70,01","1,04","101,5%","2,98","0,99",1,25
Кемеровская область,"65,26","-2,33","96,6%","-1,77","-3,76",6,68
Красноярский край,"68,41","-0,71","99,0%","1,38","-0,61",3,38
Новосибирская область,"67,46","-0,93","98,6%","0,43","-1,56",4,47
Омская область,"69,06","-0,20","99,7%","2,03","0,04",2,33
Республика Алтай,"64,99","-1,18","98,2%","-2,04","-4,03",8,71
Республика Тыва,"63,76","4,58","107,7%","-3,27","-5,26",10,79
Республика Хакасия,"63,86","-2,14","96,8%","-3,17","-5,16",9,78
Таймырский автономный округ,,,,,,,
Томская область,"66,96","2,21","103,4%","-0,07","-2,06",5,54
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,23","-1,15","98,4%",,"0,21",,4
Курганская область,"62,83","-0,23","99,6%","-6,40","-6,19",7,82
Свердловская область,"66,72","-2,75","96,0%","-2,51","-2,30",5,59
Тюменская область,"71,15","-1,41","98,1%","1,92","2,13",4,18
Тюменская область без авт. округов,"66,44","-0,99","98,5%","-2,79","-2,58",6,62
Ханты-Мансийский автономный округ,"73,19","-2,27","97,0%","3,96","4,17",2,8
Челябинская область,"71,86","0,83","101,2%","2,63","2,84",3,13
Ямало-Ненецкий автономный округ,"77,47","0,30","100,4%","8,24","8,45",1,3
Центральный федеральный округ,"71,76","0,29","100,4%",,"2,74",,1
Белгородская область,"70,08","-0,06","99,9%","-1,68","1,06",8,24
Брянская область,"66,85","0,32","100,5%","-4,92","-2,17",14,56
Владимирская область,"68,66","-1,95","97,2%","-3,11","-0,36",10,36
Воронежская область,"66,86","1,25","101,9%","-4,90","-2,16",13,55
г. Москва,"76,22","0,00","100,0%","4,46","7,20",1,4
Ивановская область,"70,33","0,75","101,1%","-1,43","1,31",7,23
Калужская область,"72,23","2,26","103,2%","0,47","3,21",3,10
Костромская область,"66,62","-1,08","98,4%","-5,14","-2,40",15,60
Курская область,"67,87","0,33","100,5%","-3,90","-1,15",11,43
Липецкая область,"67,69","0,09","100,1%","-4,08","-1,33",12,45
Московская область,"73,38","1,32","101,8%","1,61","4,36",2,7
Орловская область,"64,47","-1,97","97,0%","-7,29","-4,55",17,74
Рязанская область,"62,58","-0,41","99,4%","-9,18","-6,44",18,84
Смоленская область,"70,62","0,60","100,9%","-1,14","1,60",6,22
Тамбовская область,"64,58","-0,55","99,2%","-7,19","-4,44",16,72
Тверская область,"71,00","0,91","101,3%","-0,76","1,98",5,21
Тульская область,"68,82","-0,87","98,8%","-2,94","-0,20",9,35
Ярославская область,"71,20","-0,19","99,7%","-0,56","2,18",4,17
Южный федеральный округ,"66,53","-0,87","98,7%",,"-2,49",,7
Астраханская область,"69,00","0,01","100,0%","2,47","-0,02",2,34
Волгоградская область,"66,44","-0,69","99,0%","-0,09","-2,58",5,63
г. Севастополь,"63,45","-1,25","98,1%","-3,08","-5,57",6,80
Краснодарский край,"67,32","-1,56","97,7%","0,80","-1,70",4,49
Республика Адыгея (Адыгея),"60,16","-0,36","99,4%","-6,37","-8,86",8,87
Республика Калмыкия,"71,45","2,11","103,1%","4,92","2,43",1,16
Республика Крым,"62,46","-2,27","96,5%","-4,07","-6,56",7,85
Ростовская область,"67,44","0,13","100,2%","0,91","-1,58",3,48
