Территория,Значение (январь-май 2017г),к АППГ (январь-май 2016г)/отклонение,к АППГ (январь-май 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"68,82","-0,42","99,4%",,,,
Дальневосточный федеральный округ,"70,76","0,60","100,9%",,"1,94",,3
Амурская область,"68,78","1,11","101,6%","-1,98","-0,04",8,36
Еврейская автономная область,"66,34","-2,21","96,8%","-4,42","-2,48",10,62
Забайкальский край,"67,26","0,37","100,6%","-3,50","-1,57",9,53
Камчатская область,,,,,,,
Камчатский край,"72,30","-1,98","97,3%","1,54","3,47",4,10
Корякский автономный округ,,,,,,,
Магаданская область,"76,91","-0,48","99,4%","6,15","8,08",2,3
Приморский край,"69,48","-0,56","99,2%","-1,28","0,65",7,25
Республика Бурятия,"59,81","-4,24","93,4%","-10,95","-9,02",11,87
Республика Саха (Якутия),"71,09","3,15","104,6%","0,33","2,26",6,18
Сахалинская область,"72,54","-0,05","99,9%","1,78","3,71",3,9
Хабаровский край,"72,10","1,75","102,5%","1,34","3,28",5,12
Чукотский автономный округ,"78,05","-4,28","94,8%","7,29","9,23",1,1
Приволжский федеральный округ,"68,35","-0,77","98,9%",,"-0,47",,5
Кировская область,"68,44","-0,09","99,9%","0,10","-0,38",7,40
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,89","0,47","100,7%","3,54","3,07",1,14
Оренбургская область,"68,07","-0,16","99,8%","-0,28","-0,75",8,43
Пензенская область,"66,59","-2,23","96,8%","-1,75","-2,23",10,56
Пермская область,,,,,,,
Пермский край,"66,54","-0,63","99,1%","-1,81","-2,28",11,59
Республика Башкортостан,"65,30","-0,98","98,5%","-3,05","-3,52",13,69
Республика Марий Эл,"68,01","0,44","100,7%","-0,33","-0,81",9,44
Республика Мордовия,"69,86","-0,94","98,7%","1,51","1,04",5,24
Республика Татарстан (Татарстан),"70,76","-0,72","99,0%","2,42","1,94",2,19
Самарская область,"70,40","-0,94","98,7%","2,06","1,58",3,20
Саратовская область,"64,82","-0,98","98,5%","-3,52","-4,00",14,73
Удмуртская республика,"69,94","-2,21","96,9%","1,59","1,12",4,23
Ульяновская область,"65,97","-1,22","98,2%","-2,38","-2,86",12,66
Чувашская Республика-Чувашия,"68,79","-1,47","97,9%","0,44","-0,03",6,35
Северо-Западный федеральный округ,"71,26","-0,22","99,7%",,"2,43",,1
Архангельская область,"67,40","-0,71","99,0%","-3,85","-1,42",8,49
Архангельская область без авт. округа,"67,39","-0,52","99,2%","-3,87","-1,44",9,50
Вологодская область,"65,58","-3,11","95,5%","-5,67","-3,24",11,68
г. Санкт-Петербург,"75,08","0,64","100,9%","3,83","6,26",1,4
Калининградская область,"69,15","-1,29","98,2%","-2,11","0,33",6,29
Ленинградская область,"72,24","2,30","103,3%","0,98","3,41",3,11
Мурманская область,"72,81","-1,33","98,2%","1,55","3,99",2,8
Ненецкий автономный округ,"67,90","-5,87","92,0%","-3,35","-0,92",7,45
Новгородская область,"70,18","-0,58","99,2%","-1,07","1,36",4,21
Псковская область,"63,45","-3,58","94,7%","-7,80","-5,37",12,80
Республика Карелия,"66,39","-1,52","97,8%","-4,87","-2,44",10,61
Республика Коми,"69,38","-0,56","99,2%","-1,87","0,56",5,28
Северо-Кавказский федеральный округ,"65,14","-0,25","99,6%",,"-3,68",,8
Кабардино-Балкарская Республика,"68,15","-1,42","98,0%","3,01","-0,68",3,42
Карачаево-Черкесская Республика,"62,98","-1,29","98,0%","-2,16","-5,84",6,82
Республика Дагестан,"62,85","0,56","100,9%","-2,29","-5,98",7,83
Республика Ингушетия,"74,54","1,75","102,4%","9,40","5,72",1,6
Республика Северная Осетия-Алания,"64,32","2,70","104,4%","-0,82","-4,50",4,76
Ставропольский край,"64,24","-1,14","98,3%","-0,90","-4,59",5,78
Чеченская республика,"68,48","-1,37","98,0%","3,34","-0,35",2,38
Сибирский федеральный округ,"66,54","-0,78","98,8%",,"-2,28",,6
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"62,42","-1,43","97,8%","-4,12","-6,40",9,84
Иркутская область,"68,48","-2,10","97,0%","1,93","-0,35",3,37
Кемеровская область,"66,66","-0,30","99,6%","0,12","-2,16",6,55
Красноярский край,"68,84","1,75","102,6%","2,30","0,02",2,34
Новосибирская область,"67,73","-1,24","98,2%","1,19","-1,09",4,47
Омская область,"68,87","-1,29","98,2%","2,33","0,05",1,33
Республика Алтай,"67,27","-1,59","97,7%","0,72","-1,56",5,52
Республика Тыва,"60,28","-1,00","98,4%","-6,26","-8,54",10,85
Республика Хакасия,"66,47","1,53","102,4%","-0,07","-2,35",7,60
Таймырский автономный округ,,,,,,,
Томская область,"64,26","-1,28","98,0%","-2,28","-4,56",8,77
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,43","-0,42","99,4%",,"0,60",,4
Курганская область,"65,10","-0,89","98,6%","-4,33","-3,73",7,71
Свердловская область,"67,33","-1,18","98,3%","-2,10","-1,49",5,51
