Территория,Значение (январь-февраль 2018г),к АППГ (январь-февраль 2017г)/отклонение,к АППГ (январь-февраль 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"68,80","-0,25","99,6%",,,,
Дальневосточный федеральный округ,"70,35","-0,42","99,4%",,"1,54",,3
Амурская область,"66,54","-1,14","98,3%","-3,81","-2,27",9,53
Еврейская автономная область,"64,94","-1,60","97,6%","-5,41","-3,87",10,67
Забайкальский край,"66,98","-0,05","99,9%","-3,36","-1,82",8,50
Камчатская область,,,,,,,
Камчатский край,"73,68","3,07","104,3%","3,33","4,87",3,7
Корякский автономный округ,,,,,,,
Магаданская область,"74,29","-1,55","98,0%","3,94","5,48",2,6
Приморский край,"70,13","-0,04","99,9%","-0,22","1,33",6,22
Республика Бурятия,"63,42","2,79","104,6%","-6,92","-5,38",11,79
Республика Саха (Якутия),"69,23","-1,22","98,3%","-1,12","0,43",7,31
Сахалинская область,"72,84","-0,13","99,8%","2,49","4,03",4,9
Хабаровский край,"71,83","-0,49","99,3%","1,49","3,03",5,12
Чукотский автономный округ,"79,51","-4,66","94,5%","9,16","10,71",1,1
Приволжский федеральный округ,"67,66","-0,34","99,5%",,"-1,14",,5
Кировская область,"68,97","-0,39","99,4%","1,31","0,17",5,33
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,74","-0,02","100,0%","4,08","2,94",1,14
Оренбургская область,"67,95","0,79","101,2%","0,28","-0,86",6,43
Пензенская область,"65,36","1,03","101,6%","-2,30","-3,44",12,64
Пермская область,,,,,,,
Пермский край,"65,14","-1,53","97,7%","-2,52","-3,66",13,65
Республика Башкортостан,"66,23","1,07","101,6%","-1,43","-2,58",8,57
Республика Марий Эл,"65,84","-1,32","98,0%","-1,82","-2,96",11,63
Республика Мордовия,"65,87","-3,20","95,4%","-1,80","-2,94",10,61
Республика Татарстан (Татарстан),"69,72","-0,07","99,9%","2,06","0,91",3,24
Самарская область,"70,25","-0,62","99,1%","2,59","1,45",2,21
Саратовская область,"62,60","-1,25","98,0%","-5,07","-6,21",14,83
Удмуртская республика,"69,36","-0,46","99,3%","1,70","0,55",4,27
Ульяновская область,"65,89","-0,93","98,6%","-1,77","-2,92",9,60
Чувашская Республика-Чувашия,"66,53","-1,47","97,8%","-1,13","-2,28",7,54
Северо-Западный федеральный округ,"70,39","-0,94","98,7%",,"1,59",,2
Архангельская область,"64,23","-1,50","97,7%","-6,16","-4,57",11,74
Архангельская область без авт. округа,"64,08","-1,30","98,0%","-6,31","-4,73",12,76
Вологодская область,"64,76","-1,20","98,2%","-5,63","-4,05",9,69
г. Санкт-Петербург,"74,66","-0,66","99,1%","4,27","5,86",1,5
Калининградская область,"71,81","3,09","104,5%","1,42","3,01",2,13
Ленинградская область,"69,71","-1,43","98,0%","-0,68","0,90",4,25
Мурманская область,"71,23","-4,64","93,9%","0,84","2,42",3,16
Ненецкий автономный округ,"68,26","-6,81","90,9%","-2,14","-0,55",5,38
Новгородская область,"67,65","-2,23","96,8%","-2,75","-1,16",7,45
Псковская область,"64,61","-2,55","96,2%","-5,78","-4,19",10,71
Республика Карелия,"66,06","-1,03","98,5%","-4,34","-2,75",8,59
Республика Коми,"68,03","0,14","100,2%","-2,36","-0,77",6,41
Северо-Кавказский федеральный округ,"65,69","0,24","100,4%",,"-3,11",,8
Кабардино-Балкарская Республика,"69,25","3,12","104,7%","3,56","0,44",2,30
Карачаево-Черкесская Республика,"64,39","5,24","108,9%","-1,30","-4,42",5,73
Республика Дагестан,"63,07","-0,45","99,3%","-2,62","-5,73",7,81
Республика Ингушетия,"79,15","4,99","106,7%","13,47","10,35",1,2
Республика Северная Осетия-Алания,"68,11","3,35","105,2%","2,42","-0,70",3,39
Ставропольский край,"63,78","-1,72","97,4%","-1,91","-5,02",6,77
Чеченская республика,"68,07","-1,05","98,5%","2,38","-0,73",4,40
Сибирский федеральный округ,"66,90","0,14","100,2%",,"-1,90",,6
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"65,13","1,72","102,7%","-1,77","-3,67",6,66
Иркутская область,"68,93","0,67","101,0%","2,03","0,12",2,34
Кемеровская область,"64,88","-1,02","98,4%","-2,03","-3,93",7,68
Красноярский край,"68,03","-0,55","99,2%","1,13","-0,77",4,42
Новосибирская область,"68,27","-0,79","98,9%","1,37","-0,54",3,37
Омская область,"69,15","0,04","100,1%","2,25","0,35",1,32
Республика Алтай,"64,20","-2,06","96,9%","-2,70","-4,60",9,75
Республика Тыва,"63,39","6,38","111,2%","-3,51","-5,41",10,80
Республика Хакасия,"64,64","-1,88","97,2%","-2,26","-4,17",8,70
Таймырский автономный округ,,,,,,,
Томская область,"66,20","0,60","100,9%","-0,70","-2,60",5,58
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,06","-0,73","99,0%",,"0,25",,4
Курганская область,"62,53","-0,15","99,8%","-6,53","-6,28",7,84
Свердловская область,"66,62","-2,02","97,1%","-2,44","-2,18",5,52
Тюменская область,"70,76","-0,94","98,7%","1,71","1,96",4,17
Тюменская область без авт. округов,"66,26","0,10","100,1%","-2,80","-2,55",6,56
Ханты-Мансийский автономный округ,"72,82","-2,53","96,6%","3,77","4,02",2,10
Челябинская область,"71,84","0,91","101,3%","2,79","3,04",3,11
Ямало-Ненецкий автономный округ,"76,55","1,29","101,7%","7,49","7,74",1,3
Центральный федеральный округ,"71,29","0,04","100,1%",,"2,49",,1
Белгородская область,"70,01","-0,12","99,8%","-1,28","1,20",7,23
Брянская область,"65,86","-1,38","97,9%","-5,43","-2,94",15,62
Владимирская область,"69,26","-0,81","98,8%","-2,03","0,45",9,29
Воронежская область,"66,69","1,23","101,9%","-4,60","-2,11",13,51
г. Москва,"75,45","0,01","100,0%","4,16","6,64",1,4
Ивановская область,"69,58","1,38","102,0%","-1,71","0,78",8,26
Калужская область,"71,52","1,71","102,4%","0,23","2,71",3,15
Костромская область,"66,38","-0,57","99,2%","-4,91","-2,43",14,55
Курская область,"67,77","0,26","100,4%","-3,52","-1,03",11,44
Липецкая область,"67,56","0,19","100,3%","-3,73","-1,25",12,48
Московская область,"72,94","0,36","100,5%","1,65","4,14",2,8
Орловская область,"63,66","-3,02","95,5%","-7,63","-5,15",17,78
Рязанская область,"62,10","-1,72","97,3%","-9,19","-6,70",18,86
Смоленская область,"70,38","-0,72","99,0%","-0,91","1,58",6,20
Тамбовская область,"64,46","-0,86","98,7%","-6,83","-4,34",16,72
Тверская область,"70,63","1,36","102,0%","-0,66","1,82",4,18
Тульская область,"68,76","-0,75","98,9%","-2,53","-0,04",10,35
Ярославская область,"70,50","0,26","100,4%","-0,79","1,70",5,19
Южный федеральный округ,"66,67","-0,48","99,3%",,"-2,14",,7
Астраханская область,"68,41","-1,87","97,3%","1,74","-0,39",2,36
Волгоградская область,"67,18","0,62","100,9%","0,51","-1,63",5,49
г. Севастополь,"62,83","-1,02","98,4%","-3,84","-5,97",6,82
Краснодарский край,"67,60","-1,63","97,6%","0,94","-1,20",4,47
Республика Адыгея (Адыгея),"60,14","-0,22","99,6%","-6,53","-8,67",8,87
Республика Калмыкия,"69,33","1,15","101,7%","2,67","0,53",1,28
Республика Крым,"62,20","-2,33","96,4%","-4,46","-6,60",7,85
Ростовская область,"67,63","1,40","102,1%","0,96","-1,18",3,46
