Территория,Значение (январь-июль 2018г),к АППГ (январь-июль 2017г)/отклонение,к АППГ (январь-июль 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"68,85","-0,15","99,8%",,,,
Дальневосточный федеральный округ,"70,30","-0,05","99,9%",,"1,45",,3
Амурская область,"67,69","-1,10","98,4%","-2,62","-1,17",8,43
Еврейская автономная область,"64,82","-2,92","95,7%","-5,49","-4,04",11,77
Забайкальский край,"67,14","-0,10","99,9%","-3,16","-1,71",9,49
Камчатская область,,,,,,,
Камчатский край,"73,50","0,45","100,6%","3,20","4,65",3,7
Корякский автономный округ,,,,,,,
Магаданская область,"76,83","-4,26","94,8%","6,53","7,98",2,3
Приморский край,"69,23","0,21","100,3%","-1,07","0,38",7,30
Республика Бурятия,"65,39","1,75","102,8%","-4,91","-3,46",10,69
Республика Саха (Якутия),"71,44","0,76","101,1%","1,14","2,59",5,15
Сахалинская область,"73,27","0,49","100,7%","2,96","4,41",4,9
Хабаровский край,"70,30","0,08","100,1%","0,00","1,45",6,22
Чукотский автономный округ,"80,02","1,56","102,0%","9,72","11,16",1,1
Приволжский федеральный округ,"67,67","-0,57","99,2%",,"-1,18",,5
Кировская область,"69,89","0,68","101,0%","2,22","1,04",3,25
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"71,56","-0,19","99,7%","3,89","2,70",1,12
Оренбургская область,"68,47","-0,23","99,7%","0,80","-0,38",7,39
Пензенская область,"66,69","0,52","100,8%","-0,97","-2,16",8,57
Пермская область,,,,,,,
Пермский край,"64,07","0,68","101,1%","-3,60","-4,78",13,80
Республика Башкортостан,"65,39","-0,48","99,3%","-2,28","-3,47",10,70
Республика Марий Эл,"65,29","-1,96","97,1%","-2,38","-3,57",11,71
Республика Мордовия,"66,68","-3,82","94,6%","-0,99","-2,17",9,58
Республика Татарстан (Татарстан),"70,37","-0,79","98,9%","2,70","1,51",2,20
Самарская область,"69,43","-1,08","98,5%","1,77","0,58",4,29
Саратовская область,"63,18","-0,59","99,1%","-4,49","-5,67",14,83
Удмуртская республика,"69,09","-1,97","97,2%","1,42","0,24",5,31
Ульяновская область,"65,04","-1,63","97,6%","-2,63","-3,81",12,74
Чувашская Республика-Чувашия,"68,81","0,17","100,3%","1,14","-0,04",6,35
Северо-Западный федеральный округ,"70,66","-0,80","98,9%",,"1,81",,2
Архангельская область,"66,70","-0,41","99,4%","-3,96","-2,16",9,56
Архангельская область без авт. округа,"66,54","-0,58","99,1%","-4,12","-2,31",10,59
Вологодская область,"65,89","-1,26","98,1%","-4,77","-2,96",12,64
г. Санкт-Петербург,"74,67","-0,18","99,8%","4,01","5,81",1,5
Калининградская область,"69,07","0,67","101,0%","-1,59","0,21",5,32
Ленинградская область,"70,32","-1,92","97,3%","-0,34","1,47",4,21
Мурманская область,"71,46","-2,61","96,5%","0,80","2,60",2,13
Ненецкий автономный округ,"70,75","4,14","106,2%","0,09","1,90",3,18
Новгородская область,"67,66","-1,43","97,9%","-2,99","-1,19",6,45
Псковская область,"66,28","-0,30","99,6%","-4,37","-2,57",11,62
Республика Карелия,"67,09","-0,39","99,4%","-3,57","-1,77",7,50
Республика Коми,"67,05","-2,73","96,1%","-3,60","-1,80",8,51
Северо-Кавказский федеральный округ,"66,41","1,00","101,5%",,"-2,45",,8
Кабардино-Балкарская Республика,"69,63","-0,02","100,0%","3,22","0,78",2,27
Карачаево-Черкесская Республика,"62,46","1,60","102,6%","-3,95","-6,39",7,85
Республика Дагестан,"63,65","0,61","101,0%","-2,76","-5,20",6,81
Республика Ингушетия,"73,72","-2,59","96,6%","7,31","4,87",1,6
Республика Северная Осетия-Алания,"68,48","3,42","105,3%","2,07","-0,37",3,38
Ставропольский край,"66,50","2,08","103,2%","0,10","-2,35",5,60
Чеченская республика,"68,17","-0,21","99,7%","1,76","-0,69",4,40
Сибирский федеральный округ,"66,84","-0,16","99,8%",,"-2,01",,6
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"65,59","1,74","102,7%","-1,25","-3,26",6,67
Иркутская область,"66,38","-1,23","98,2%","-0,46","-2,47",5,61
