Территория,Значение (январь-март 2018г),к АППГ (январь-март 2017г)/отклонение,к АППГ (январь-март 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"73,70","7,90","112,0%",,,,
Дальневосточный федеральный округ,"70,20","8,60","114,0%",,"-3,50",,8
Амурская область,"71,20","11,90","120,1%","1,00","-2,50",4,46
Еврейская автономная область,"51,80","-7,10","87,9%","-18,40","-21,90",11,87
Забайкальский край,"52,70","-2,10","96,2%","-17,50","-21,00",10,86
Камчатская область,,,,,,,
Камчатский край,"72,90","7,50","111,5%","2,70","-0,80",2,34
Корякский автономный округ,,,,,,,
Магаданская область,"68,10","18,70","137,9%","-2,10","-5,60",6,60
Приморский край,"75,90","6,40","109,2%","5,70","2,20",1,16
Республика Бурятия,"57,90","-4,00","93,5%","-12,30","-15,80",8,82
Республика Саха (Якутия),"71,90","15,20","126,8%","1,70","-1,80",3,43
Сахалинская область,"69,50","12,30","121,5%","-0,70","-4,20",5,56
Хабаровский край,"67,60","4,10","106,5%","-2,60","-6,10",7,64
Чукотский автономный округ,"53,20","6,10","113,0%","-17,00","-20,50",9,85
Приволжский федеральный округ,"74,10","6,30","109,3%",,"0,40",,4
Кировская область,"76,30","7,80","111,4%","2,20","2,60",3,14
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"72,00","5,60","108,4%","-2,10","-1,70",9,42
Оренбургская область,"66,30","8,00","113,7%","-7,80","-7,40",14,69
Пензенская область,"68,10","2,90","104,4%","-6,00","-5,60",13,60
Пермская область,,,,,,,
Пермский край,"71,90","7,80","112,2%","-2,20","-1,80",10,43
Республика Башкортостан,"78,70","5,80","108,0%","4,60","5,00",1,5
Республика Марий Эл,"69,90","8,80","114,4%","-4,20","-3,80",11,52
Республика Мордовия,"75,20","6,20","109,0%","1,10","1,50",6,21
Республика Татарстан (Татарстан),"77,70","4,10","105,6%","3,60","4,00",2,10
Самарская область,"75,00","7,80","111,6%","0,90","1,30",7,24
Саратовская область,"76,30","5,80","108,2%","2,20","2,60",3,14
Удмуртская республика,"75,50","8,60","112,9%","1,40","1,80",5,18
Ульяновская область,"68,80","2,20","103,3%","-5,30","-4,90",12,58
Чувашская Республика-Чувашия,"73,10","9,60","115,1%","-1,00","-0,60",8,33
Северо-Западный федеральный округ,"74,80","8,40","112,7%",,"1,10",,2
Архангельская область,"68,60","6,50","110,5%","-6,20","-5,10",5,59
Архангельская область без авт. округа,"69,90","6,80","110,8%","-4,90","-3,80",4,52
Вологодская область,"72,20","8,50","113,3%","-2,60","-1,50",3,41
г. Санкт-Петербург,"81,50","8,50","111,6%","6,70","7,80",1,2
Калининградская область,"65,70","7,50","112,9%","-9,10","-8,00",9,71
Ленинградская область,"74,00","7,10","110,6%","-0,80","0,30",2,30
Мурманская область,"68,10","10,40","118,0%","-6,70","-5,60",6,60
Ненецкий автономный округ,"57,90","4,10","107,6%","-16,90","-15,80",12,82
Новгородская область,"65,80","11,50","121,2%","-9,00","-7,90",8,70
Псковская область,"65,50","7,00","112,0%","-9,30","-8,20",10,72
Республика Карелия,"60,50","10,50","121,0%","-14,30","-13,20",11,80
Республика Коми,"66,90","4,10","106,5%","-7,90","-6,80",7,68
Северо-Кавказский федеральный округ,"76,50","6,60","109,4%",,"2,80",,1
Кабардино-Балкарская Республика,"60,90","1,70","102,9%","-15,60","-12,80",7,77
