Территория,Значение (январь-март 2018г),к АППГ (январь-март 2017г)/отклонение,к АППГ (январь-март 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Российская  Федерация,"1,00","-0,20","83,3%",,,,
Дальневосточный федеральный округ,"1,30","-0,40","76,5%",,"0,30",,6
Амурская область,"2,60","-0,40","86,7%","1,30","1,60",11,82
Еврейская автономная область,"1,20","-0,10","92,3%","-0,10","0,20",4,51
Забайкальский край,"1,50","-0,40","78,9%","0,20","0,50",7,62
Камчатская область,,,,,,,
Камчатский край,"1,60","-0,20","88,9%","0,30","0,60",8,67
Корякский автономный округ,,,,,,,
Магаданская область,"1,30","-0,60","68,4%","0,00","0,30",5,55
Приморский край,"1,00","-0,40","71,4%","-0,30","0,00",3,39
Республика Бурятия,"1,40","0,00","100,0%","0,10","0,40",6,60
Республика Саха (Якутия),"2,00","-0,60","76,9%","0,70","1,00",9,77
Сахалинская область,"0,60","-0,30","66,7%","-0,70","-0,40",1,11
Хабаровский край,"0,90","-0,20","81,8%","-0,40","-0,10",2,31
Чукотский автономный округ,"2,20","-0,20","91,7%","0,90","1,20",10,80
Приволжский федеральный округ,"0,90","-0,10","90,0%",,"-0,10",,4
Кировская область,"1,20","-0,20","85,7%","0,30","0,20",12,51
Коми-Пермяцкий автономный округ,,,,,,,
Нижегородская область,"0,40","-0,10","80,0%","-0,50","-0,60",1,3
Оренбургская область,"1,50","-0,10","93,8%","0,60","0,50",14,62
Пензенская область,"0,80","0,00","100,0%","-0,10","-0,20",5,22
Пермская область,,,,,,,
Пермский край,"1,30","-0,10","92,9%","0,40","0,30",13,55
Республика Башкортостан,"1,10","-0,10","91,7%","0,20","0,10",11,46
Республика Марий Эл,"0,90","-0,20","81,8%","0,00","-0,10",6,31
Республика Мордовия,"0,90","0,00","100,0%","0,00","-0,10",6,31
Республика Татарстан (Татарстан),"0,60","-0,10","85,7%","-0,30","-0,40",3,11
Самарская область,"1,00","-0,20","83,3%","0,10","0,00",9,39
Саратовская область,"1,00","-0,10","90,9%","0,10","0,00",9,39
Удмуртская республика,"0,90","-0,20","81,8%","0,00","-0,10",6,31
Ульяновская область,"0,50","0,00","100,0%","-0,40","-0,50",2,6
Чувашская Республика-Чувашия,"0,70","-0,10","87,5%","-0,20","-0,30",4,18
Северо-Западный федеральный округ,"0,80","-0,20","80,0%",,"-0,20",,3
Архангельская область,"1,50","-0,30","83,3%","0,70","0,50",7,62
Архангельская область без авт. округа,"1,50","-0,30","83,3%","0,70","0,50",7,62
Вологодская область,"1,30","-0,10","92,9%","0,50","0,30",6,55
г. Санкт-Петербург,"0,40","0,00","100,0%","-0,40","-0,60",2,3
Калининградская область,"0,80","-0,20","80,0%","0,00","-0,20",3,22
Ленинградская область,"0,30","-0,20","60,0%","-0,50","-0,70",1,2
Мурманская область,"1,60","-0,20","88,9%","0,80","0,60",9,67
Ненецкий автономный округ,"2,70","-0,30","90,0%","1,90","1,70",12,84
Новгородская область,"1,00","-0,10","90,9%","0,20","0,00",4,39
Псковская область,"1,00","-0,30","76,9%","0,20","0,00",4,39
Республика Карелия,"2,00","-0,30","87,0%","1,20","1,00",11,77
Республика Коми,"1,60","-0,30","84,2%","0,80","0,60",9,67
Северо-Кавказский федеральный округ,"3,00","-0,20","93,8%",,"2,00",,8
Кабардино-Балкарская Республика,"2,10","0,00","100,0%","-0,90","1,10",4,79
Карачаево-Черкесская Республика,"1,60","-0,20","88,9%","-1,40","0,60",2,67
Республика Дагестан,"1,80","-0,20","90,0%","-1,20","0,80",3,74
Республика Ингушетия,"8,60","-2,20","79,6%","5,60","7,60",6,86
Республика Северная Осетия-Алания,"2,60","-0,20","92,9%","-0,40","1,60",5,82
Ставропольский край,"0,90","-0,10","90,0%","-2,10","-0,10",1,31
Чеченская республика,"9,00","-0,20","97,8%","6,00","8,00",7,87
Сибирский федеральный округ,"1,40","-0,20","87,5%",,"0,40",,7
Агинский-Бурятский автономный округ,,,,,,,
